match_id,season,date,round,referee,home_team,away_team,home_score,away_score,home_shots,away_shots,home_shots_on_target,away_shots_on_target,home_corners,away_corners,home_fouls,away_fouls,home_yellow,away_yellow,home_red,away_red,status
D1_20250822_BAYERNMU_RBLEIPZI,2025/26,2025-08-22,,Florian Badstübner,Bayern Munich,RB Leipzig,6,0,19,12,10,1,5,5,13,13,4,1,0,0,full_time
D1_20250823_EINFRANK_WERDERBR,2025/26,2025-08-23,,Harm Osmers,Ein Frankfurt,Werder Bremen,4,1,18,10,5,5,7,1,9,9,1,3,0,0,full_time
D1_20250823_FREIBURG_AUGSBURG,2025/26,2025-08-23,,Felix Zwayer,Freiburg,Augsburg,1,3,16,14,4,5,5,5,14,18,4,5,0,0,full_time
D1_20250823_HEIDENHE_WOLFSBUR,2025/26,2025-08-23,,Benjamin Brand,Heidenheim,Wolfsburg,1,3,7,15,2,5,2,5,12,12,2,3,0,0,full_time
D1_20250823_LEVERKUS_HOFFENHE,2025/26,2025-08-23,,Daniel Siebert,Leverkusen,Hoffenheim,1,2,7,10,2,5,6,4,9,17,0,4,0,0,full_time
D1_20250823_UNIONBER_STUTTGAR,2025/26,2025-08-23,,Robert Hartmann,Union Berlin,Stuttgart,2,1,8,21,2,6,5,11,21,13,4,4,0,0,full_time
D1_20250823_STPAULI_DORTMUND,2025/26,2025-08-23,,Matthias Jöllenbeck,St Pauli,Dortmund,3,3,11,8,7,7,5,2,13,12,2,3,0,1,full_time
D1_20250824_MAINZ_FCKOLN,2025/26,2025-08-24,,Tobias Stieler,Mainz,FC Koln,0,1,19,12,2,2,8,3,7,9,0,2,1,0,full_time
D1_20250824_M'GLADBA_HAMBURG,2025/26,2025-08-24,,Sascha Stegemann,M'gladbach,Hamburg,0,0,17,7,4,2,7,6,10,10,2,1,0,0,full_time
D1_20250829_HAMBURG_STPAULI,2025/26,2025-08-29,,Christian Dingert,Hamburg,St Pauli,0,2,5,17,2,6,2,5,13,19,3,3,1,0,full_time
D1_20250830_HOFFENHE_EINFRANK,2025/26,2025-08-30,,Timo Gerach,Hoffenheim,Ein Frankfurt,1,3,17,9,5,6,4,5,14,10,2,3,0,0,full_time
D1_20250830_RBLEIPZI_HEIDENHE,2025/26,2025-08-30,,Frank Willenborg,RB Leipzig,Heidenheim,2,0,19,5,5,3,4,3,7,13,2,5,0,0,full_time
D1_20250830_STUTTGAR_M'GLADBA,2025/26,2025-08-30,,Sven Jablonski,Stuttgart,M'gladbach,1,0,13,15,5,6,6,10,5,13,2,1,0,0,full_time
D1_20250830_WERDERBR_LEVERKUS,2025/26,2025-08-30,,Robin Braun,Werder Bremen,Leverkusen,3,3,12,10,5,4,3,7,11,10,4,3,1,0,full_time
D1_20250830_AUGSBURG_BAYERNMU,2025/26,2025-08-30,,Florian Exner,Augsburg,Bayern Munich,2,3,10,20,3,10,7,5,14,11,3,4,0,0,full_time
D1_20250831_WOLFSBUR_MAINZ,2025/26,2025-08-31,,Sören Storks,Wolfsburg,Mainz,1,1,11,17,3,3,3,10,15,14,3,5,1,0,full_time
D1_20250831_DORTMUND_UNIONBER,2025/26,2025-08-31,,Daniel Schlager,Dortmund,Union Berlin,3,0,11,12,6,3,4,6,14,7,0,0,0,0,full_time
D1_20250831_FCKOLN_FREIBURG,2025/26,2025-08-31,,Tobias Reichel,FC Koln,Freiburg,4,1,18,12,6,2,3,5,12,9,2,1,0,0,full_time
D1_20250912_LEVERKUS_EINFRANK,2025/26,2025-09-12,,Deniz Aytekin,Leverkusen,Ein Frankfurt,3,1,18,13,8,2,4,8,10,9,5,3,2,0,full_time
D1_20250913_FREIBURG_STUTTGAR,2025/26,2025-09-13,,Daniel Siebert,Freiburg,Stuttgart,3,1,14,7,6,2,7,1,8,13,1,1,1,0,full_time
