match_id,date,round,referee,home_team,away_team,home_score,away_score,home_xg,away_xg,home_shots,away_shots,home_shots_on_target,away_shots_on_target,home_corners,away_corners,home_fouls,away_fouls,home_yellow,away_yellow,home_red,away_red,home_possession,away_possession,attendance
4854,17/08/2013 17:00,"5. kolo, Základní část | sobota 17/08/2013, 17:00 | Chance arena",P. Franěk,FK Baumit Jablonec,1.SC Znojmo FK,5,5,0,0,23,15,10,7,,,12,20,1,6,,,57,43,
7566,21/10/2023 15:00,"12. kolo, Základní část | sobota 21/10/2023, 15:00 | Letná | O2 TV stream MD",L. Szikszay,FC Zlín,FK Mladá Boleslav,5,9,0,0,11,21,7,14,4,3,12,15,2,4,,,45,55,
8042,19/07/2025 17:00,"1. kolo, Základní část | sobota 19/07/2025, 17:00 | Ďolíček |",D. Starý,Bohemians Praha 1905,FC Baník Ostrava,1,0,1.71,1.13,15,19,4,5,5,3,7,6,3,1,,,30,70,
8043,20/07/2025 20:00,"1. kolo, Základní část | neděle 20/07/2025, 20:00 | Fortuna Arena |",K. Rouček,SK Slavia Praha,FC Hradec Králové,2,2,1.53,0.32,16,6,5,4,8,2,10,11,2,1,,,64,36,
8044,19/07/2025 17:00,"1. kolo, Základní část | sobota 19/07/2025, 17:00 | AGC Aréna Na Stínadlech |",M. Radina,FK Teplice,FC Zlín,1,3,0.94,1.13,11,7,4,3,6,3,14,19,4,3,,,57,43,
8045,19/07/2025 20:00,"1. kolo, Základní část | sobota 19/07/2025, 20:00 | Stadion Střelnice |",J. Všetečka,FK Jablonec,AC Sparta Praha,1,1,0.46,1.13,11,13,4,4,5,6,17,11,4,2,,,44,56,
8046,20/07/2025 15:00,"1. kolo, Základní část | neděle 20/07/2025, 15:00 | Městský fotbalový stadion Miroslava Valenty |",D. Vokoun,1.FC Slovácko,SK Sigma Olomouc,0,1,1.45,1.14,18,9,3,3,4,4,7,19,1,3,,,54,46,
8047,19/07/2025 17:00,"1. kolo, Základní část | sobota 19/07/2025, 17:00 | Městský stadion Karviná |",V. Opočenský,MFK Karviná,FK Dukla Praha,2,0,1.4,0.74,16,9,4,2,5,4,14,14,1,3,,,56,44,
8048,18/07/2025 19:00,"1. kolo, Základní část | pátek 18/07/2025, 19:00 | Stadion Arnošta Košťála |",O. Pechanec,FK Pardubice,FC Viktoria Plzeň,1,5,0.14,1.22,4,15,2,6,1,8,8,11,3,0,,,43,57,
8049,20/07/2025 17:00,"1. kolo, Základní část | neděle 20/07/2025, 17:00 | LOKOTRANS ARÉNA |",L. Nehasil,FK Mladá Boleslav,FC Slovan Liberec,3,3,0.85,1.54,13,14,6,5,8,6,10,16,1,3,,,62,38,
8050,26/07/2025 17:00,"2. kolo, Základní část | sobota 26/07/2025, 17:00 | Andrův stadión |",J. Petřík,SK Sigma Olomouc,FK Dukla Praha,0,0,0.82,0.09,8,3,1,1,9,3,13,14,1,3,,,59,41,
