match_id,season,date,round,referee,home_team,away_team,home_score,away_score,home_shots,away_shots,home_shots_on_target,away_shots_on_target,home_shots_off_target,away_shots_off_target,home_shots_blocked,away_shots_blocked,home_corners,away_corners,home_fouls,away_fouls,home_yellow,away_yellow,home_red,away_red,home_possession,away_possession,home_passes,away_passes,home_passes_accurate,away_passes_accurate,home_tackles,away_tackles,home_tackles_won,away_tackles_won,home_saves,away_saves,home_offsides,away_offsides,home_clearances,away_clearances,home_goals_conceded,away_goals_conceded,home_fouls_won,away_fouls_won,home_assists,away_assists,home_substitutions,away_substitutions,home_formation,away_formation,attendance,status
57cqnf434gebf2abw7dksgk5w,2025/26,2025-08-08,1,Rob Dieperink,Fortuna Sittard,Go Ahead Eagles,2,2,36,6,8,2,13,2,15,2,8,5,10,9,2,2,,,67,32,491,242,433,180,15,8,8,5,1,5,,1,20,43,2,2,9,9,1,1,4,5,4231,4231,8872,full_time
57xdrzoi7cd818f2gsxt7owlw,2025/26,2025-08-09,1,Danny Desmond Makkelie,N.E.C. Nijmegen,Excelsior Rotterdam,5,0,16,9,10,6,5,1,1,2,7,2,14,14,1,1,,,62,38,469,282,376,200,28,24,19,15,6,5,2,,19,21,,5,14,12,4,,5,5,3421,4231,12650,full_time
58ej0eo0n9s1chmphfmxqpi50,2025/26,2025-08-09,1,Allard Lindhout,Feyenoord,NAC Breda,2,0,20,7,4,,9,3,7,4,3,4,10,13,1,1,,,59,40,476,315,398,242,22,31,14,19,,2,1,,21,42,,2,13,9,,,5,4,4231,4231,47500,full_time
58vn9hrbfiklhgf6asotegpas,2025/26,2025-08-09,1,Marc Nagtegaal,sc Heerenveen,FC Volendam,1,1,18,6,6,3,6,2,6,1,9,2,8,9,1,1,,,57,42,463,347,392,277,14,7,9,4,2,5,2,2,19,40,1,1,9,7,1,1,3,5,4231,4231,23764,full_time
59cob2x6ey9g79e0ishugwwt0,2025/26,2025-08-09,1,Bas Nijhuis,PSV,Sparta Rotterdam,6,1,23,8,12,4,6,3,5,1,8,5,8,2,1,1,,,66,33,683,341,602,268,13,10,9,6,3,5,2,,17,27,1,6,2,8,6,1,5,3,433,4222,34300,full_time
59tymmdqax9kdonrjqfobtk44,2025/26,2025-08-10,1,Joey Kooij,PEC Zwolle,FC Twente,1,0,7,16,2,4,2,7,3,5,2,4,14,15,4,1,,,43,56,343,440,247,342,22,16,10,8,4,1,2,1,29,21,,1,15,14,1,,5,5,4231,4231,13789,full_time
5aazp220lt6s30vsy5jhc2o0k,2025/26,2025-08-10,1,Jannick van der Laan,Ajax,Telstar,2,0,15,18,7,5,4,6,4,7,8,10,9,12,,,,,62,37,612,362,550,303,21,14,11,8,5,5,1,2,21,19,,2,11,9,2,,4,5,433,3421,54665,full_time
5atola0wddisxe0n800isnd3o,2025/26,2025-08-10,1,Serdar Gözübüyük,AZ,FC Groningen,4,1,10,11,5,8,3,3,2,,6,1,11,12,2,2,,,50,49,406,388,312,311,24,14,14,8,6,2,1,,24,13,1,4,12,10,2,1,5,3,4231,4231,17935,full_time
5bapk0k20h5ps14jhajhiuq6s,2025/26,2025-08-10,1,Erwin Blank,FC Utrecht,Heracles Almelo,4,0,18,10,7,3,5,6,6,1,4,4,10,16,1,2,,,48,51,335,372,265,297,16,11,8,6,3,3,,,26,27,,4,15,10,3,,5,4,4231,4231,21875,full_time
5boqdw62g02lsq53eakhsddlg,2025/26,2025-08-15,2,Serdar Gözübüyük,Telstar,PEC Zwolle,0,2,11,10,5,3,3,4,3,3,7,,13,10,3,3,,,52,47,432,411,353,340,12,20,8,11,1,5,,3,10,39,2,,10,13,,2,5,5,3421,4231,5293,full_time
5c2hyac7kxb889j7bblnbqrro,2025/26,2025-08-16,2,Jeroen Manschot,FC Groningen,sc Heerenveen,2,1,8,16,5,5,3,7,,4,3,8,9,15,4,2,,,54,45,444,364,327,251,15,19,11,11,4,3,1,2,23,31,1,2,15,8,2,1,3,3,4231,4231,22525,full_time
5cgcrg3l8cp8syd0ifsn83itw,2025/26,2025-08-16,2,Dennis Johan Higler,Excelsior Rotterdam,Feyenoord,1,2,8,16,2,8,5,4,1,4,5,6,17,8,,2,,,47,52,412,466,319,379,16,18,10,9,5,1,1,,31,31,2,1,8,16,1,1,5,5,4231,4231,3845,full_time
5cu6yesie3rqqtyioyg963uac,2025/26,2025-08-16,2,Alex Bos,Heracles Almelo,N.E.C. Nijmegen,1,4,13,24,6,11,6,5,1,8,3,7,9,11,2,2,,,18,81,140,649,82,585,12,12,9,7,7,5,1,4,40,26,4,1,11,8,1,3,5,5,4231,343,11905,full_time
5d85nnr14c7ceg3mzfpag5lw4,2025/26,2025-08-17,2,Danny Desmond Makkelie,Go Ahead Eagles,Ajax,2,2,9,22,4,11,2,7,3,4,6,9,9,12,1,2,,,48,51,462,496,393,440,20,13,11,9,9,2,2,2,16,29,2,2,10,9,2,,4,5,4231,433,9997,full_time
5dm0vcwmrkt3505ps5ezgcvf8,2025/26,2025-08-17,2,Sander van der Eijk,FC Twente,PSV,0,2,19,15,4,4,6,7,9,4,8,6,10,12,1,2,,,50,49,442,453,332,372,17,15,13,12,3,4,1,3,14,51,2,,12,9,,1,4,3,4231,433,30000,full_time
5dzxnw9vgoedo176zurqvu3v8,2025/26,2025-08-17,2,Allard Lindhout,Sparta Rotterdam,FC Utrecht,2,1,15,20,5,5,3,7,7,8,5,6,9,11,1,3,,,44,55,402,479,313,414,22,14,11,6,4,3,,4,42,21,1,2,9,9,1,,4,5,433,4222,10040,full_time
