match_id,season,date,round,referee,home_team,away_team,home_score,away_score,home_shots,away_shots,home_shots_on_target,away_shots_on_target,home_corners,away_corners,home_fouls,away_fouls,home_yellow,away_yellow,home_red,away_red,status
SP1_20250815_GIRONA_VALLECAN,2025/26,2025-08-15,,Javier Alberola Rojas,Girona,Vallecano,1,3,7,16,2,5,2,4,8,17,0,1,1,0,full_time
SP1_20250815_VILLARRE_OVIEDO,2025/26,2025-08-15,,Alejandro Muñiz Ruiz,Villarreal,Oviedo,2,0,25,5,10,4,10,1,10,8,1,2,0,1,full_time
SP1_20250816_MALLORCA_BARCELON,2025/26,2025-08-16,,José Munuera Montero,Mallorca,Barcelona,0,3,4,24,1,8,3,6,8,17,4,1,2,0,full_time
SP1_20250816_ALAVES_LEVANTE,2025/26,2025-08-16,,Miguel Sesma Espinosa,Alaves,Levante,2,1,15,7,4,3,10,1,15,13,0,1,0,0,full_time
SP1_20250816_VALENCIA_SOCIEDAD,2025/26,2025-08-16,,José Sánchez Martínez,Valencia,Sociedad,1,1,18,13,2,3,8,7,5,11,1,2,0,0,full_time
SP1_20250817_CELTA_GETAFE,2025/26,2025-08-17,,Iosu Galech Apezteguía,Celta,Getafe,0,2,11,10,3,3,9,3,15,17,3,2,0,0,full_time
SP1_20250817_ATHBILBA_SEVILLA,2025/26,2025-08-17,,Francisco Hernández Maeso,Ath Bilbao,Sevilla,3,2,14,12,3,6,10,1,8,12,0,2,0,0,full_time
SP1_20250817_ESPANOL_ATHMADRI,2025/26,2025-08-17,,Mateo Busquets Ferrer,Espanol,Ath Madrid,2,1,10,15,5,4,1,3,14,11,3,3,0,0,full_time
SP1_20250818_ELCHE_BETIS,2025/26,2025-08-18,,Víctor García Verdura,Elche,Betis,1,1,6,12,2,4,1,3,14,13,0,1,0,0,full_time
SP1_20250819_REALMADR_OSASUNA,2025/26,2025-08-19,,Adrián Cordero Vega,Real Madrid,Osasuna,1,0,18,2,5,0,7,0,10,12,1,0,0,1,full_time
SP1_20250822_BETIS_ALAVES,2025/26,2025-08-22,,Miguel Ortiz Arias,Betis,Alaves,1,0,16,11,5,5,5,2,10,17,2,3,0,0,full_time
SP1_20250823_MALLORCA_CELTA,2025/26,2025-08-23,,José Luis Guzmán Mansilla,Mallorca,Celta,1,1,12,8,4,2,3,4,12,12,3,3,0,0,full_time
SP1_20250823_ATHMADRI_ELCHE,2025/26,2025-08-23,,César Soto Grado,Ath Madrid,Elche,1,1,13,6,6,2,10,2,14,7,0,3,0,0,full_time
SP1_20250823_LEVANTE_BARCELON,2025/26,2025-08-23,,Alejandro Hernández Hernández,Levante,Barcelona,2,3,8,26,5,10,0,11,10,8,3,1,0,0,full_time
SP1_20250824_OSASUNA_VALENCIA,2025/26,2025-08-24,,Jesús Gil Manzano,Osasuna,Valencia,1,0,16,4,4,1,3,4,14,13,2,1,0,1,full_time
SP1_20250824_SOCIEDAD_ESPANOL,2025/26,2025-08-24,,Alejandro Quintero González,Sociedad,Espanol,2,2,15,14,7,3,5,2,16,18,2,2,0,0,full_time
SP1_20250824_VILLARRE_GIRONA,2025/26,2025-08-24,,Guillermo Cuadra Fernández,Villarreal,Girona,5,0,19,5,7,2,8,1,8,9,1,2,0,0,full_time
SP1_20250824_OVIEDO_REALMADR,2025/26,2025-08-24,,Ricardo de Burgos,Oviedo,Real Madrid,0,3,6,26,3,10,1,9,8,7,2,1,0,0,full_time
SP1_20250825_ATHBILBA_VALLECAN,2025/26,2025-08-25,,Juan Martínez Munuera,Ath Bilbao,Vallecano,1,0,11,6,4,1,3,6,13,13,0,4,0,0,full_time
SP1_20250825_SEVILLA_GETAFE,2025/26,2025-08-25,,Isidro Díaz de Mera,Sevilla,Getafe,1,2,12,9,3,6,5,3,10,24,2,2,0,0,full_time
SP1_20250827_CELTA_BETIS,2025/26,2025-08-27,,Jesús Gil Manzano,Celta,Betis,1,1,14,7,5,2,10,4,13,11,1,2,0,0,full_time
SP1_20250829_ELCHE_LEVANTE,2025/26,2025-08-29,,Iosu Galech Apezteguía,Elche,Levante,2,0,16,11,5,1,4,2,14,17,1,2,0,0,full_time
SP1_20250829_VALENCIA_GETAFE,2025/26,2025-08-29,,Francisco Hernández Maeso,Valencia,Getafe,3,0,7,11,4,1,8,6,18,7,2,0,0,0,full_time
SP1_20250830_ALAVES_ATHMADRI,2025/26,2025-08-30,,Víctor García Verdura,Alaves,Ath Madrid,1,1,5,15,2,6,1,6,10,17,2,3,0,0,full_time
SP1_20250830_OVIEDO_SOCIEDAD,2025/26,2025-08-30,,Adrián Cordero Vega,Oviedo,Sociedad,1,0,8,18,1,6,1,10,7,18,2,1,0,0,full_time
SP1_20250830_GIRONA_SEVILLA,2025/26,2025-08-30,,Miguel Ortiz Arias,Girona,Sevilla,0,2,20,13,5,4,11,3,5,14,0,2,0,0,full_time
SP1_20250830_REALMADR_MALLORCA,2025/26,2025-08-30,,José Sánchez Martínez,Real Madrid,Mallorca,2,1,17,9,7,5,4,5,12,7,2,0,0,0,full_time
SP1_20250831_CELTA_VILLARRE,2025/26,2025-08-31,,Alejandro Quintero González,Celta,Villarreal,1,1,10,8,2,3,1,5,11,8,1,1,0,0,full_time
SP1_20250831_BETIS_ATHBILBA,2025/26,2025-08-31,,Isidro Díaz de Mera,Betis,Ath Bilbao,1,2,9,15,2,6,4,10,9,16,1,4,0,1,full_time
SP1_20250831_ESPANOL_OSASUNA,2025/26,2025-08-31,,Alejandro Quintero González,Espanol,Osasuna,1,0,10,10,4,3,2,3,13,14,2,3,0,0,full_time
SP1_20250831_VALLECAN_BARCELON,2025/26,2025-08-31,,Mateo Busquets Ferrer,Vallecano,Barcelona,1,1,12,12,6,3,9,4,16,8,4,1,0,0,full_time
