match_id,season,date,round,referee,stadium,attendance,home_team,away_team,home_score,away_score,home_formation,away_formation,home_possession,away_possession,home_shots,away_shots,home_shots_on_target,away_shots_on_target,home_shots_off_target,away_shots_off_target,home_shots_blocked,away_shots_blocked,home_corners,away_corners,home_fouls,away_fouls,home_yellow,away_yellow,home_red,away_red,home_xg,away_xg,home_offsides,away_offsides,home_passes,away_passes,home_passes_accurate,away_passes_accurate,home_tackles,away_tackles,home_tackles_won,away_tackles_won,home_saves,away_saves,home_clearances,away_clearances,home_big_chances_missed,away_big_chances_missed,home_aerials_won,away_aerials_won,status
l1_championship_match_73125,2025,2025-08-15,1,Jérémie PIGNARD,ROAZHON PARK,28360,Rennes,OM,1,0,532,3241,33,67,12,24,5,2,2,13,5,9,1,12,8,11,2,3,1,,1.392,1.785,5,,284,718,220,658,9,15,4,8,2,4,41,16,2,3,11,6,full_time
l1_championship_match_73120,2025,2025-08-16,1,Romain LISSORGUE,STADE BOLLAERT-DELELIS,38137,RC Lens,OL,0,1,3421,4231,55,45,18,11,5,3,9,7,4,1,12,8,13,20,2,3,,,1.379,1.41,5,1,444,371,377,298,12,17,7,13,2,4,17,34,4,1,10,7,full_time
l1_championship_match_73122,2025,2025-08-16,1,Ruddy BUQUET,STADE LOUIS-II,11734,AS Monaco,Havre AC,3,1,4231,4141,68,32,13,9,3,4,5,3,5,2,5,4,5,14,,1,,,1.759,0.601,5,1,725,243,643,175,11,16,4,6,3,1,11,43,,,11,14,full_time
l1_championship_match_73124,2025,2025-08-16,1,Thomas LEONARD,ALLIANZ RIVIERA,23212,OGC Nice,Toulouse FC,0,1,3421,343,55,45,13,10,2,2,5,6,6,2,9,4,12,13,2,3,,,0.789,0.605,,,472,362,403,306,17,18,8,11,1,2,27,41,1,,11,11,full_time
l1_championship_match_73117,2025,2025-08-17,1,François LETEXIER,STADE RAYMOND-KOPA,12168,Angers SCO,Paris FC,1,0,3421,442,37,63,8,17,2,7,3,6,3,4,3,7,14,10,2,1,1,,0.969,0.918,,3,277,589,206,531,20,12,13,3,7,1,28,12,,1,13,8,full_time
l1_championship_match_73118,2025,2025-08-17,1,Abdelatif KHERRADJI,STADE DE L'ABBÉ-DESCHAMPS,16090,AJ Auxerre,FC Lorient,1,0,541,343,45,55,7,14,3,3,3,6,1,5,4,5,18,14,3,2,,,1.436,1.374,,2,361,465,291,392,27,16,13,9,3,2,23,20,2,3,16,11,full_time
l1_championship_match_73119,2025,2025-08-17,1,Clément TURPIN,STADE FRANCIS-LE BLÉ,14840,Brest,LOSC,3,3,433,4231,47,53,18,10,5,6,8,,5,4,2,2,11,13,2,1,,,2.013,1.622,1,2,366,441,272,363,24,15,12,7,3,2,17,29,,1,11,18,full_time
l1_championship_match_73121,2025,2025-08-17,1,Mathieu VERNICE,STADE SAINT-SYMPHORIEN,25009,FC Metz,Strasbourg,0,1,532,532,41,59,2,9,,4,2,2,,3,3,3,16,13,2,2,,,0.303,0.624,1,1,349,585,272,521,25,23,20,13,2,,34,23,,,4,11,full_time
l1_championship_match_73123,2025,2025-08-17,1,Benoît BASTIEN,STADE DE LA BEAUJOIRE-LOUIS FONTENEAU,34053,FC Nantes,PSG,0,1,4141,433,34,66,5,18,,4,5,7,,7,2,7,6,6,1,1,,,0.138,1.426,,1,304,744,224,680,23,14,12,9,3,,18,9,,1,8,12,full_time
l1_championship_match_73132,2025,2025-08-22,2,Hakim BEN EL HADJ,PARC DES PRINCES,47401,PSG,Angers SCO,1,0,433,352,76,24,21,3,4,,13,3,4,,12,,3,9,,,,,1.852,0.239,1,1,981,195,918,141,19,34,14,22,,3,3,40,2,1,6,5,full_time
l1_championship_match_73129,2025,2025-08-23,2,Eric WATTELLIER,GROUPAMA STADIUM,49853,OL,FC Metz,3,0,4231,4231,52,48,13,11,8,2,3,3,2,6,4,3,13,15,,2,,,2.793,0.565,1,3,542,485,500,442,18,15,7,10,2,5,15,5,,,4,3,full_time
l1_championship_match_73130,2025,2025-08-23,2,Marc BOLLENGIER,ORANGE VÉLODROME,64074,OM,Paris FC,5,2,4231,433,58,42,11,8,7,4,4,4,,,5,2,9,12,1,,,,2.825,1.09,1,1,590,380,539,333,12,10,10,7,2,2,19,28,4,2,6,3,full_time
