match_id,season,date,round,referee,home_team,away_team,home_score,away_score,home_xg,away_xg,home_shots,away_shots,home_shots_on_target,away_shots_on_target,home_corners,away_corners,home_fouls,away_fouls,home_yellow,away_yellow,home_red,away_red,home_possession,away_possession,attendance
2614,2025,"sobota 26.07.2025, 18:03",1. kolo,Matej Choreň,KFC Komárno,AS Trenčín,1,2,2.35,1.22,21,14,9,5,15,5,8,11,0,2,0,0,49.7,50.3,452
2615,2025,"nedeľa 27.07.2025, 17:00",1. kolo,Michal Smolák,FK Železiarne Podbrezová,FC Košice,3,1,2.87,1.79,13,20,6,9,8,8,13,8,1,1,0,0,43.5,56.5,1008
2616,2025,"sobota 26.07.2025, 20:30",1. kolo,Peter Kráľovič,FC Tatran Prešov,ŠK Slovan Bratislava,2,2,2.08,1.04,10,21,5,4,4,10,14,7,1,2,0,0,25.8,74.2,6320
2617,2025,"nedeľa 27.07.2025, 19:03",1. kolo,Filip Glova,FC Spartak Trnava,MFK Ružomberok,3,0,2,0.55,19,10,7,4,5,6,10,18,0,0,0,1,66.4,33.6,4273
2618,2025,"sobota 26.07.2025, 18:00",1. kolo,Erik Gemzický,FC DAC 1904 Dunajská Streda,MFK Zemplín Michalovce,1,1,2.06,0.72,15,11,4,6,5,2,13,16,0,3,0,0,60.9,39.1,4075
2619,2025,"nedeľa 27.07.2025, 17:00",1. kolo,Bálint Kišš,MFK Skalica,MŠK Žilina,0,0,1.23,2.48,11,15,3,6,4,8,14,16,1,3,0,0,42,58,613
2620,2025,"sobota 02.08.2025, 18:00",2. kolo,Igor Valent,MFK Zemplín Michalovce,KFC Komárno,3,1,2.77,1.91,21,15,9,6,3,5,11,16,1,1,0,0,57.8,42.2,1584
2621,2025,"utorok 12.08.2025, 18:00",2. kolo,Ivan Kružliak,MFK Ružomberok,MFK Skalica,1,3,0.91,0.59,9,11,3,5,4,1,13,11,2,3,0,0,60.4,39.6,1055
2622,2025,"sobota 02.08.2025, 20:30",2. kolo,Michal Očenáš,ŠK Slovan Bratislava,FK Železiarne Podbrezová,4,1,1.76,1.99,14,13,5,4,4,7,18,21,2,2,0,0,54.5,45.5,6436
2623,2025,"streda 01.10.2025, 18:00",2. kolo,Lukáš Dzivjak,FC Košice,FC DAC 1904 Dunajská Streda,0,2,0.83,1.41,20,12,4,5,5,3,13,8,0,1,0,0,53.2,46.8,2182
2624,2025,"nedeľa 03.08.2025, 19:00",2. kolo,Martin Dohál,MŠK Žilina,FC Tatran Prešov,1,0,1.63,0.28,18,6,3,0,5,4,11,11,3,5,0,0,56.9,43.1,1864
2625,2025,"nedeľa 03.08.2025, 17:00",2. kolo,Peter Ziemba,AS Trenčín,FC Spartak Trnava,0,1,0.46,0.99,8,18,0,5,4,3,18,13,1,3,1,2,54.6,45.4,4489
2626,2025,"streda 29.10.2025, 18:00",3. kolo,Boris Marhefka,KFC Komárno,ŠK Slovan Bratislava,2,3,1.37,1.92,13,22,4,4,1,9,15,7,1,2,0,0,24.8,75.2,1289
2627,2025,"sobota 09.08.2025, 18:00",3. kolo,Boris Benedik,MFK Skalica,FK Železiarne Podbrezová,2,2,1.85,1.08,13,11,3,4,4,5,14,16,2,2,0,1,43.4,56.6,543
2628,2025,"nedeľa 10.08.2025, 17:00",3. kolo,Peter Kráľovič,FC Košice,AS Trenčín,0,1,2.69,0.47,32,9,11,2,5,5,13,14,1,2,0,0,49.9,50.1,3288
2629,2025,"sobota 09.08.2025, 20:33",3. kolo,Marián Ruc,FC DAC 1904 Dunajská Streda,MFK Ružomberok,2,0,3.4,0.41,22,5,10,2,10,1,15,16,0,1,0,1,80.6,19.4,3868
2630,2025,"nedeľa 10.08.2025, 19:00",3. kolo,Michal Smolák,FC Spartak Trnava,FC Tatran Prešov,1,0,2.35,0.89,21,13,8,2,6,6,17,12,0,2,0,0,63.7,36.3,5078
2631,2025,"sobota 09.08.2025, 18:00",3. kolo,Filip Glova,MFK Zemplín Michalovce,MŠK Žilina,2,4,1.51,1.83,22,7,9,4,12,3,15,14,1,0,0,1,59.4,40.6,2738
2632,2025,"sobota 16.08.2025, 18:03",4. kolo,Bálint Kišš,FK Železiarne Podbrezová,KFC Komárno,2,1,0.84,0.88,10,15,4,4,6,8,16,16,2,1,0,0,44.1,55.9,865
2633,2025,"sobota 16.08.2025, 18:00",4. kolo,Michal Očenáš,MFK Ružomberok,MFK Zemplín Michalovce,0,1,1.11,1.55,10,14,4,6,5,7,12,13,0,2,0,0,52.3,47.7,868
2634,2025,"sobota 16.08.2025, 18:00",4. kolo,Lukáš Dzivjak,ŠK Slovan Bratislava,MFK Skalica,1,0,1.19,0.73,13,11,3,5,4,7,7,17,0,2,0,0,68.4,31.6,4868
2635,2025,"streda 29.10.2025, 18:00",4. kolo,Ivan Kružliak,FC Spartak Trnava,FC Košice,3,1,2.21,1.18,7,13,6,1,1,3,19,15,2,2,0,0,54.4,45.6,3538
2636,2025,"nedeľa 17.08.2025, 19:00",4. kolo,Erik Gemzický,AS Trenčín,MŠK Žilina,2,1,2.97,0.43,27,9,8,2,9,3,13,7,1,0,0,0,56.3,43.7,2109
2637,2025,"sobota 16.08.2025, 20:30",4. kolo,Martin Dohál,FC Tatran Prešov,FC DAC 1904 Dunajská Streda,0,0,0.7,0.9,9,16,1,4,7,3,14,13,4,4,0,0,33.5,66.5,6254
2638,2025,"nedeľa 24.08.2025, 17:00",5. kolo,Boris Marhefka,KFC Komárno,FC Spartak Trnava,1,4,1.46,2.83,14,10,7,4,9,4,13,13,3,1,0,1,46.4,53.6,2987
2639,2025,"sobota 23.08.2025, 18:00",5. kolo,Igor Valent,MFK Skalica,FC Tatran Prešov,2,2,0.78,1.03,9,18,3,6,3,10,10,9,2,3,0,0,34.1,65.9,737
2640,2025,"nedeľa 24.08.2025, 19:00",5. kolo,Jaroslav Sučka,MŠK Žilina,FK Železiarne Podbrezová,3,0,3.07,1.29,19,14,10,4,5,5,11,15,0,3,0,0,41.2,58.8,1908
2641,2025,"sobota 23.08.2025, 18:00",5. kolo,Filip Malárik,FC Košice,MFK Ružomberok,3,1,1.81,1.54,19,13,8,6,5,6,10,12,2,3,0,0,55.9,44.1,3211
2642,2025,"sobota 23.08.2025, 20:30",5. kolo,Matej Choreň,FC DAC 1904 Dunajská Streda,AS Trenčín,4,1,2.28,0.35,27,8,13,4,5,4,13,15,2,3,0,1,67.9,32.1,3993
2643,2025,"nedeľa 24.08.2025, 19:00",5. kolo,Peter Ziemba,MFK Zemplín Michalovce,ŠK Slovan Bratislava,1,1,1.24,1.5,15,20,4,5,3,10,10,7,3,1,0,0,37.9,62.1,4286
2644,2025,"sobota 30.08.2025, 18:00",6. kolo,Filip Glova,FC Tatran Prešov,AS Trenčín,2,3,1.22,1.34,12,18,7,5,5,5,14,12,2,5,1,0,36.5,63.5,6380
2645,2025,"nedeľa 31.08.2025, 17:00",6. kolo,Erik Gemzický,ŠK Slovan Bratislava,FC Košice,3,2,1.32,1.36,12,16,7,10,6,4,10,15,0,2,0,0,54.2,45.8,6421
2646,2025,"sobota 30.08.2025, 18:00",6. kolo,Boris Benedik,KFC Komárno,MFK Skalica,1,0,0.64,0.43,10,7,4,1,4,4,17,15,4,4,0,0,38.1,61.9,322
2647,2025,"sobota 30.08.2025, 20:30",6. kolo,Lukáš Dzivjak,FK Železiarne Podbrezová,MFK Zemplín Michalovce,2,2,2.25,1.07,24,15,5,5,2,2,15,10,2,1,0,0,55.1,44.9,527
2648,2025,"nedeľa 31.08.2025, 19:00",6. kolo,Michal Smolák,FC Spartak Trnava,FC DAC 1904 Dunajská Streda,0,3,1.49,0.77,19,13,2,5,7,1,17,13,5,4,0,0,55,45,9362
2649,2025,"nedeľa 31.08.2025, 17:00",6. kolo,Peter Kráľovič,MFK Ružomberok,MŠK Žilina,3,3,3.06,2.08,21,15,9,6,7,3,11,12,2,2,0,0,39,61,1567
2650,2025,"sobota 13.09.2025, 18:00",7. kolo,Boris Marhefka,FC Košice,KFC Komárno,2,3,1.68,1.39,13,15,3,7,4,1,14,6,1,4,1,0,48.9,51.1,4395
