match_id,season,date,round,referee,home_team,away_team,home_score,away_score,home_shots,away_shots,home_shots_on_target,away_shots_on_target,home_corners,away_corners,home_fouls,away_fouls,home_yellow,away_yellow,home_red,away_red,status
P1_20250808_CASAPIA_SPLISBON,2025/26,2025-08-08,,Gustavo Correia,Casa Pia,Sp Lisbon,0,2,7,27,2,12,2,9,14,11,4,1,0,0,full_time
P1_20250809_NACIONAL_GILVICEN,2025/26,2025-08-09,,David Silva,Nacional,Gil Vicente,0,2,15,12,3,2,14,6,21,16,3,6,0,0,full_time
P1_20250809_AROUCA_AVS,2025/26,2025-08-09,,Sérgio Guelho,Arouca,AVS,3,1,9,15,4,2,4,5,13,17,2,0,0,0,full_time
P1_20250810_FAMALICA_SANTACLA,2025/26,2025-08-10,,Luís Godinho,Famalicao,Santa Clara,3,0,6,8,3,2,2,3,20,15,4,2,0,0,full_time
P1_20250810_MOREIREN_ALVERCA,2025/26,2025-08-10,,Hélder Malheiro,Moreirense,Alverca,2,1,10,7,3,2,6,2,15,5,3,1,0,0,full_time
P1_20250810_SPBRAGA_TONDELA,2025/26,2025-08-10,,Claudio Pereira,Sp Braga,Tondela,3,0,8,7,6,3,5,3,10,9,1,3,0,0,full_time
P1_20250811_ESTORIL_ESTRELA,2025/26,2025-08-11,,Anzhony Rodrigues,Estoril,Estrela,1,1,8,9,3,5,4,4,13,16,4,1,0,0,full_time
P1_20250811_PORTO_GUIMARAE,2025/26,2025-08-11,,António Nobre,Porto,Guimaraes,3,0,17,10,9,2,7,4,18,9,1,3,0,0,full_time
P1_20250815_AVS_CASAPIA,2025/26,2025-08-15,,Pedro Ramalho,AVS,Casa Pia,0,2,10,10,3,5,1,3,20,20,4,5,0,0,full_time
P1_20250816_TONDELA_FAMALICA,2025/26,2025-08-16,,Fábio Veríssimo,Tondela,Famalicao,0,1,15,14,4,5,2,7,17,19,0,1,0,0,full_time
P1_20250816_GUIMARAE_ESTORIL,2025/26,2025-08-16,,José Bessa,Guimaraes,Estoril,3,2,16,11,4,5,4,2,18,17,4,3,0,0,full_time
P1_20250816_ESTRELA_BENFICA,2025/26,2025-08-16,,Hélder Carvalho,Estrela,Benfica,0,1,15,14,2,3,5,4,14,23,3,3,0,0,full_time
P1_20250817_RIOAVE_NACIONAL,2025/26,2025-08-17,,Claudio Pereira,Rio Ave,Nacional,1,1,20,13,9,6,6,6,16,18,2,4,0,1,full_time
P1_20250817_ALVERCA_SPBRAGA,2025/26,2025-08-17,,Miguel Nogueira,Alverca,Sp Braga,0,3,12,12,3,6,1,5,15,6,2,1,0,0,full_time
P1_20250817_SANTACLA_MOREIREN,2025/26,2025-08-17,,David Silva,Santa Clara,Moreirense,0,1,12,6,3,2,3,0,20,18,4,5,0,0,full_time
P1_20250817_SPLISBON_AROUCA,2025/26,2025-08-17,,Hélder Malheiro,Sp Lisbon,Arouca,6,0,19,7,10,1,6,1,7,7,1,0,0,1,full_time
P1_20250818_GILVICEN_PORTO,2025/26,2025-08-18,,Ricardo Baixinho,Gil Vicente,Porto,0,2,14,15,2,4,1,5,9,20,2,4,0,0,full_time
P1_20250823_MOREIREN_GUIMARAE,2025/26,2025-08-23,,João Pinheiro,Moreirense,Guimaraes,2,0,10,11,4,4,3,7,17,17,5,2,0,0,full_time
P1_20250823_NACIONAL_SPLISBON,2025/26,2025-08-23,,Bruno Costa,Nacional,Sp Lisbon,1,4,3,27,1,7,3,13,18,7,3,2,1,0,full_time
P1_20250823_AROUCA_RIOAVE,2025/26,2025-08-23,,Hélder Carvalho,Arouca,Rio Ave,3,3,14,15,6,7,4,2,13,17,3,2,0,0,full_time
P1_20250823_BENFICA_TONDELA,2025/26,2025-08-23,,Anzhony Rodrigues,Benfica,Tondela,3,0,21,9,12,4,13,2,10,12,2,2,0,0,full_time
P1_20250824_FAMALICA_GILVICEN,2025/26,2025-08-24,,Pedro Ramalho,Famalicao,Gil Vicente,0,0,11,20,3,8,2,9,17,18,3,1,0,0,full_time
P1_20250824_PORTO_CASAPIA,2025/26,2025-08-24,,Sérgio Guelho,Porto,Casa Pia,4,0,20,7,7,0,7,2,11,8,3,1,0,0,full_time
P1_20250824_SPBRAGA_AVS,2025/26,2025-08-24,,João Gonçalves,Sp Braga,AVS,2,2,21,4,5,2,11,3,9,12,2,3,0,0,full_time
P1_20250825_ESTRELA_ALVERCA,2025/26,2025-08-25,,Ricardo Baixinho,Estrela,Alverca,2,2,19,6,6,2,6,2,18,24,4,5,1,1,full_time
P1_20250829_GILVICEN_MOREIREN,2025/26,2025-08-29,,António Nobre,Gil Vicente,Moreirense,2,0,12,10,4,0,4,3,18,12,1,2,0,0,full_time
P1_20250830_CASAPIA_NACIONAL,2025/26,2025-08-30,,João Pinheiro,Casa Pia,Nacional,0,2,9,9,3,2,2,3,13,22,2,3,0,0,full_time
P1_20250830_AVS_FAMALICA,2025/26,2025-08-30,,Gustavo Correia,AVS,Famalicao,0,1,13,11,3,3,5,9,16,18,1,5,0,1,full_time
P1_20250830_GUIMARAE_AROUCA,2025/26,2025-08-30,,Gustavo Correia,Guimaraes,Arouca,1,1,12,9,3,3,2,2,15,17,4,4,0,0,full_time
P1_20250830_SPLISBON_PORTO,2025/26,2025-08-30,,João Gonçalves,Sp Lisbon,Porto,1,2,20,14,3,7,5,3,8,15,3,5,0,0,full_time
P1_20250831_TONDELA_ESTORIL,2025/26,2025-08-31,,Sérgio Guelho,Tondela,Estoril,2,2,14,21,4,5,3,4,8,11,1,3,0,0,full_time
P1_20250831_ALVERCA_BENFICA,2025/26,2025-08-31,,José Bessa,Alverca,Benfica,1,2,11,6,7,2,5,2,12,18,4,6,0,1,full_time
P1_20250831_RIOAVE_SPBRAGA,2025/26,2025-08-31,,Fábio Veríssimo,Rio Ave,Sp Braga,2,2,5,20,3,9,1,7,13,12,3,2,0,0,full_time
P1_20250831_SANTACLA_ESTRELA,2025/26,2025-08-31,,Carlos Macedo,Santa Clara,Estrela,0,0,13,3,3,0,8,0,13,11,2,2,0,0,full_time
P1_20250906_ESTORIL_SANTACLA,2025/26,2025-09-06,,Miguel Nogueira,Estoril,Santa Clara,0,1,15,16,4,4,5,7,16,11,4,1,0,0,full_time
P1_20250912_ALVERCA_TONDELA,2025/26,2025-09-12,,Luís Carlos Mateus Filipe,Alverca,Tondela,1,0,12,14,4,6,5,6,13,15,1,2,0,0,full_time
P1_20250912_BENFICA_SANTACLA,2025/26,2025-09-12,,João Pinheiro,Benfica,Santa Clara,1,1,19,9,7,5,4,5,8,11,1,1,0,1,full_time
P1_20250913_ESTORIL_AVS,2025/26,2025-09-13,,Diogo Rosa,Estoril,AVS,3,1,15,12,5,4,1,5,11,11,5,2,0,0,full_time
P1_20250913_MOREIREN_RIOAVE,2025/26,2025-09-13,,Márcio André Dias Torres,Moreirense,Rio Ave,3,1,15,15,8,4,7,3,12,13,1,0,0,0,full_time
P1_20250913_PORTO_NACIONAL,2025/26,2025-09-13,,Luís Godinho,Porto,Nacional,1,0,11,5,5,1,5,5,6,14,2,4,0,0,full_time
P1_20250913_FAMALICA_SPLISBON,2025/26,2025-09-13,,António Nobre,Famalicao,Sp Lisbon,1,2,9,9,3,4,5,4,22,17,4,3,0,0,full_time
P1_20250914_ESTRELA_GUIMARAE,2025/26,2025-09-14,,Miguel Nogueira,Estrela,Guimaraes,0,2,10,14,1,6,3,2,10,11,2,0,0,0,full_time
