match_id,season,date,round,round_name,referee,home_team,away_team,home_score,away_score,home_shots,away_shots,home_shots_on_target,away_shots_on_target,home_shots_off_target,away_shots_off_target,home_shots_blocked,away_shots_blocked,home_corners,away_corners,home_fouls,away_fouls,home_yellow,away_yellow,home_red,away_red,home_possession,away_possession,home_passes,away_passes,home_passes_accurate,away_passes_accurate,home_tackles,away_tackles,home_tackles_won,away_tackles_won,home_saves,away_saves,home_offsides,away_offsides,home_clearances,away_clearances,home_fouls_won,away_fouls_won,home_assists,away_assists,home_big_chances_missed,away_big_chances_missed,home_formation,away_formation,attendance,status
saison-2025-2026-jupiler-pro-league-1-royal-antwerp-fc-vs-union-sg,2025/26,2025-07-25,1,Journée 1,Erik Lambrechts,Royal Antwerp FC,Royale Union St-Gilloise,1,1,8,17,4,8,3,7,1,2,2,5,9,16,3,3,,,42.8,57.2,344,458,265,381,21,24,11,16,6,3,5,1,25,28,16,8,,1,1,2,3412,3421,,FullTime
saison-2025-2026-jupiler-pro-league-1-fcv-dender-eh-vs-cercle-brugge,2025/26,2025-07-26,1,Journée 1,Michiel Allaerts,Dender EH,Cercle Brugge KSV,0,0,11,10,3,2,6,6,2,2,3,3,13,13,,2,,,54,46,383,326,273,222,18,18,12,8,2,3,4,4,32,27,11,13,,,3,3,3142,442,,FullTime
saison-2025-2026-jupiler-pro-league-1-raal-la-louviere-vs-standard-de-liege,2025/26,2025-07-26,1,Journée 1,Lawrence Visser,RAAL La Louvière,Standard de Liège,0,2,14,9,2,4,6,3,6,2,6,1,15,12,2,1,,,44.5,55.5,351,462,267,383,11,20,6,12,2,2,1,2,20,63,12,12,,,1,,343,4231,,FullTime
saison-2025-2026-jupiler-pro-league-1-sv-zulte-waregem-vs-kv-mechelen,2025/26,2025-07-26,1,Journée 1,Kevin van Damme,SV Zulte Waregem,KV Mechelen,1,1,21,7,5,2,7,3,9,2,9,6,8,8,3,3,,,56,44,524,413,452,349,19,19,10,9,1,4,,,21,40,8,8,,1,1,,4231,3412,,FullTime
saison-2025-2026-jupiler-pro-league-1-club-brugge-vs-krc-genk,2025/26,2025-07-27,1,Journée 1,Jasper Vergoote,Club Brugge,KRC Genk,2,1,18,17,4,10,8,6,6,1,8,6,10,7,1,2,1,,56.2,43.8,508,396,430,329,13,21,7,15,8,2,2,,18,35,7,10,1,1,2,5,433,4231,,FullTime
saison-2025-2026-jupiler-pro-league-1-oh-leuven-vs-sporting-charleroi,2025/26,2025-07-27,1,Journée 1,Nathan Verboomen,OH Leuven,Sporting de Charleroi,2,2,7,16,3,9,3,5,1,2,4,8,15,14,2,2,,,44.3,55.7,341,419,263,344,17,15,11,8,6,1,2,5,36,23,13,12,2,,2,2,4231,4231,,FullTime
saison-2025-2026-jupiler-pro-league-1-rsc-anderlecht-vs-kvc-westerlo,2025/26,2025-07-27,1,Journée 1,Simon Bourdeaud'hui,Royal Sporting Club Anderlecht,KVC Westerlo,5,2,25,10,10,4,7,2,8,4,8,3,14,14,4,2,,,48.1,51.9,378,422,315,339,18,19,13,8,1,5,5,,20,25,12,12,3,2,1,1,4231,4231,,FullTime
saison-2025-2026-jupiler-pro-league-1-stvv-vs-kaa-gent,2025/26,2025-07-27,1,Journée 1,Bert Put,STVV,KAA Gent,3,1,13,12,5,2,6,2,2,8,4,6,13,10,1,1,,,47.9,52.1,408,439,316,341,22,11,13,10,1,3,,4,30,15,9,12,2,,2,,4231,442,,FullTime
saison-2025-2026-jupiler-pro-league-2-kv-mechelen-vs-club-brugge,2025/26,2025-08-01,2,Journée 2,Erik Lambrechts,KV Mechelen,Club Brugge,2,1,9,20,5,6,2,9,2,5,3,3,11,7,4,,,,34.5,65.5,343,649,283,587,5,13,3,7,5,3,1,1,29,11,5,11,1,1,2,5,3412,433,,FullTime
saison-2025-2026-jupiler-pro-league-2-kaa-gent-vs-raal-la-louviere,2025/26,2025-08-02,2,Journée 2,Nathan Verboomen,KAA Gent,RAAL La Louvière,1,0,11,5,6,1,3,4,2,,5,2,12,19,,1,,,77.5,22.5,640,185,547,96,10,16,6,9,1,5,3,,25,42,17,10,,,2,1,442,343,,FullTime
