match_id,season,date,round,referee,home_team,away_team,home_score,away_score,home_shots,away_shots,home_shots_on_target,away_shots_on_target,home_corners,away_corners,home_fouls,away_fouls,home_yellow,away_yellow,home_red,away_red,status
I1_20250823_GENOA_LECCE,2025/26,2025-08-23,,Davide Massa,Genoa,Lecce,0,0,5,7,2,0,3,7,16,13,2,3,0,0,full_time
I1_20250823_SASSUOLO_NAPOLI,2025/26,2025-08-23,,Giovanni Ayroldi,Sassuolo,Napoli,0,2,7,13,2,4,1,2,17,17,3,1,1,0,full_time
I1_20250823_MILAN_CREMONES,2025/26,2025-08-23,,Giuseppe Collu,Milan,Cremonese,1,2,24,4,6,3,9,2,10,14,1,4,0,0,full_time
I1_20250823_ROMA_BOLOGNA,2025/26,2025-08-23,,Luca Zufferli,Roma,Bologna,1,0,14,10,4,2,2,4,15,13,1,1,0,0,full_time
I1_20250824_CAGLIARI_FIORENTI,2025/26,2025-08-24,,Simone Sozza,Cagliari,Fiorentina,1,1,14,4,6,1,3,2,18,14,4,2,0,0,full_time
I1_20250824_COMO_LAZIO,2025/26,2025-08-24,,Gianluca Manganiello,Como,Lazio,2,0,19,5,6,1,6,0,15,12,2,3,0,0,full_time
I1_20250824_ATALANTA_PISA,2025/26,2025-08-24,,Alberto Arena,Atalanta,Pisa,1,1,21,11,6,2,10,4,9,10,2,0,0,0,full_time
I1_20250824_JUVENTUS_PARMA,2025/26,2025-08-24,,Matteo Marcenaro,Juventus,Parma,2,0,25,8,8,2,6,6,9,13,1,2,1,0,full_time
I1_20250825_UDINESE_VERONA,2025/26,2025-08-25,,Paride Tremolada,Udinese,Verona,1,1,14,9,4,3,5,1,14,14,3,2,0,0,full_time
I1_20250825_INTER_TORINO,2025/26,2025-08-25,,Federico La Penna,Inter,Torino,5,0,20,12,9,4,6,5,14,6,0,0,0,0,full_time
I1_20250829_CREMONES_SASSUOLO,2025/26,2025-08-29,,Marco Guida,Cremonese,Sassuolo,3,2,11,9,6,6,5,4,12,17,2,2,0,0,full_time
I1_20250829_LECCE_MILAN,2025/26,2025-08-29,,Livio Marinelli,Lecce,Milan,0,2,7,14,2,6,4,5,10,8,1,0,0,0,full_time
I1_20250830_BOLOGNA_COMO,2025/26,2025-08-30,,Daniele Doveri,Bologna,Como,1,0,15,13,2,2,7,4,13,19,4,3,0,0,full_time
I1_20250830_PARMA_ATALANTA,2025/26,2025-08-30,,Maurizio Mariani,Parma,Atalanta,1,1,7,11,3,3,1,2,8,15,2,2,0,0,full_time
I1_20250830_NAPOLI_CAGLIARI,2025/26,2025-08-30,,Kevin Bonacina,Napoli,Cagliari,1,0,20,10,6,1,13,0,16,12,2,1,0,0,full_time
I1_20250830_PISA_ROMA,2025/26,2025-08-30,,Giuseppe Collu,Pisa,Roma,0,1,7,10,3,5,1,7,14,10,2,1,0,0,full_time
I1_20250831_GENOA_JUVENTUS,2025/26,2025-08-31,,Daniele Chiffi,Genoa,Juventus,0,1,10,13,1,3,3,4,14,15,1,2,0,0,full_time
I1_20250831_TORINO_FIORENTI,2025/26,2025-08-31,,Rosario Abisso,Torino,Fiorentina,0,0,7,16,4,4,7,3,21,13,2,2,0,0,full_time
I1_20250831_INTER_UDINESE,2025/26,2025-08-31,,Matteo Marchetti,Inter,Udinese,1,2,16,10,4,5,13,2,17,5,1,3,0,0,full_time
I1_20250831_LAZIO_VERONA,2025/26,2025-08-31,,Valerio Crezzini,Lazio,Verona,4,0,22,12,6,4,8,1,8,19,0,0,0,0,full_time
I1_20250913_CAGLIARI_PARMA,2025/26,2025-09-13,,Francesco Fourneau,Cagliari,Parma,2,0,12,17,5,5,4,5,15,18,3,1,0,0,full_time
I1_20250913_JUVENTUS_INTER,2025/26,2025-09-13,,Andrea Colombo,Juventus,Inter,4,3,12,18,4,4,5,9,14,10,2,1,0,0,full_time
I1_20250913_FIORENTI_NAPOLI,2025/26,2025-09-13,,Luca Zufferli,Fiorentina,Napoli,1,3,19,14,3,9,8,5,14,14,0,0,0,0,full_time
I1_20250914_ROMA_TORINO,2025/26,2025-09-14,,Giovanni Ayroldi,Roma,Torino,0,1,22,8,5,4,7,4,11,17,2,3,0,0,full_time
I1_20250914_ATALANTA_LECCE,2025/26,2025-09-14,,Gianluca Manganiello,Atalanta,Lecce,4,1,19,12,8,3,8,2,12,7,0,0,0,0,full_time
I1_20250914_PISA_UDINESE,2025/26,2025-09-14,,Davide Massa,Pisa,Udinese,0,1,12,13,2,3,8,6,13,15,1,2,0,0,full_time
I1_20250914_SASSUOLO_LAZIO,2025/26,2025-09-14,,Paride Tremolada,Sassuolo,Lazio,1,0,10,13,3,3,3,7,15,11,6,3,0,0,full_time
I1_20250914_MILAN_BOLOGNA,2025/26,2025-09-14,,Matteo Marcenaro,Milan,Bologna,1,0,14,5,3,0,7,4,17,16,3,2,0,0,full_time
I1_20250915_VERONA_CREMONES,2025/26,2025-09-15,,Alberto Arena,Verona,Cremonese,0,0,20,6,9,2,10,1,18,3,2,1,0,0,full_time
I1_20250915_COMO_GENOA,2025/26,2025-09-15,,Marco Piccinini,Como,Genoa,1,1,13,13,4,6,0,8,13,17,2,2,1,0,full_time
I1_20250919_LECCE_CAGLIARI,2025/26,2025-09-19,,Luca Zufferli,Lecce,Cagliari,1,2,11,15,5,6,4,7,10,19,2,3,0,0,full_time
I1_20250920_BOLOGNA_GENOA,2025/26,2025-09-20,,Giuseppe Collu,Bologna,Genoa,2,1,14,7,6,4,8,2,12,15,1,5,0,0,full_time
I1_20250920_VERONA_JUVENTUS,2025/26,2025-09-20,,Antonio Rapuano,Verona,Juventus,1,1,14,10,4,4,5,3,18,10,3,3,0,0,full_time
I1_20250920_UDINESE_MILAN,2025/26,2025-09-20,,Daniele Doveri,Udinese,Milan,0,3,10,13,4,6,1,4,9,7,2,0,0,0,full_time
I1_20250921_LAZIO_ROMA,2025/26,2025-09-21,,Simone Sozza,Lazio,Roma,0,1,10,13,2,6,3,6,14,22,1,1,2,0,full_time
I1_20250921_CREMONES_PARMA,2025/26,2025-09-21,,Federico La Penna,Cremonese,Parma,0,0,3,15,1,3,3,3,16,8,1,0,0,0,full_time
I1_20250921_TORINO_ATALANTA,2025/26,2025-09-21,,Andrea Colombo,Torino,Atalanta,0,3,11,9,5,5,1,0,11,9,0,0,0,0,full_time
I1_20250921_FIORENTI_COMO,2025/26,2025-09-21,,Kevin Bonacina,Fiorentina,Como,1,2,8,19,1,7,2,6,16,19,4,3,0,0,full_time
I1_20250921_INTER_SASSUOLO,2025/26,2025-09-21,,Livio Marinelli,Inter,Sassuolo,2,1,20,9,6,5,7,3,15,8,2,1,0,0,full_time
I1_20250922_NAPOLI_PISA,2025/26,2025-09-22,,Valerio Crezzini,Napoli,Pisa,3,2,18,15,6,6,5,3,10,18,1,2,0,0,full_time
I1_20250927_COMO_CREMONES,2025/26,2025-09-27,,Marco Di Bello,Como,Cremonese,1,1,14,9,6,2,4,3,16,17,3,4,1,0,full_time
I1_20250927_JUVENTUS_ATALANTA,2025/26,2025-09-27,,Simone Sozza,Juventus,Atalanta,1,1,24,12,10,2,14,5,6,7,0,3,0,1,full_time
I1_20250927_CAGLIARI_INTER,2025/26,2025-09-27,,Marco Piccinini,Cagliari,Inter,0,2,6,20,0,5,4,4,13,14,0,2,0,0,full_time
I1_20250928_SASSUOLO_UDINESE,2025/26,2025-09-28,,Daniele Perenzoni,Sassuolo,Udinese,3,1,11,12,5,5,1,5,5,22,0,3,0,0,full_time
I1_20250928_PISA_FIORENTI,2025/26,2025-09-28,,Gianluca Manganiello,Pisa,Fiorentina,0,0,11,14,1,2,4,6,15,15,0,1,0,0,full_time
I1_20250928_ROMA_VERONA,2025/26,2025-09-28,,Ermanno Feliciani,Roma,Verona,2,0,10,12,5,3,8,1,11,19,0,4,0,0,full_time
I1_20250928_LECCE_BOLOGNA,2025/26,2025-09-28,,Francesco Fourneau,Lecce,Bologna,2,2,12,14,4,5,3,9,13,13,4,2,0,0,full_time
I1_20250928_MILAN_NAPOLI,2025/26,2025-09-28,,Daniele Chiffi,Milan,Napoli,2,1,6,19,3,7,1,7,7,7,1,0,1,0,full_time
I1_20250929_PARMA_TORINO,2025/26,2025-09-29,,Giuseppe Collu,Parma,Torino,2,1,13,15,2,4,4,3,10,12,3,3,0,0,full_time
I1_20250929_GENOA_LAZIO,2025/26,2025-09-29,,Giovanni Ayroldi,Genoa,Lazio,0,3,17,10,5,6,6,0,18,16,5,1,0,0,full_time
I1_20251003_VERONA_SASSUOLO,2025/26,2025-10-03,,Francesco Fourneau,Verona,Sassuolo,0,1,17,11,9,3,4,2,14,12,2,2,0,0,full_time
